Name;XT;Module;Channel

MIXER_ON_1;DO;1;1
APUMP_ON_1;DO;1;2
CONVEYOR_ON_1;DO;1;3
ELEVATOR_UP_1;DO;1;4
ELEVATOR_DOWN_1;DO;1;5
VIBRATOR_ON_1;DO;1;6
VIBRATOR_ON_2;DO;1;7
VIBRATOR_ON_3;DO;1;8

S_VIBRATOR_ON_1;DO;2;1
AUGER_ON_1;DO;2;2

FILTER_ON_1;DO;2;4
FILLER_OPEN_1;DO;2;5
FILLER_OPEN_2;DO;2;6
FILLER_OPEN_3;DO;2;7
DCEMENT_OPEN_1;DO;2;8

WATER_OPEN_1;DO;3;1

DWATER_OPEN_1;DO;3;3
MIXER_OPEN_1;DO;3;4
EMERGENCY_ON_1;DO;3;5

MIXER_ISON_1;DI;4;1
AUGER_ISON_1;DI;4;2
CONVEYOR_ISON_1;DI;4;3
ELEVATOR_RISE_1;DI;4;4
ELEVATOR_LOWER_1;DI;4;5
FILLER_CLOSED_1;DI;4;6
FILLER_CLOSED_2;DI;4;7
FILLER_CLOSED_3;DI;4;8

APUMP_ISON_1;DI;5;1
DCEMENT_CLOSED_1;DI;5;2
DWATER_CLOSED_1;DI;5;3
WATER_CLOSED_1;DI;5;4
MIXER_CLOSED_1;DI;5;5
MIXER_OPENED_1;DI;5;6
ELEVATOR_BELOW_1;DI;5;7
ELEVATOR_MIDDLE_1;DI;5;8

ELEVATOR_ABOVE_1;DI;6;1
LLEVEL_1;DI;6;2
HLEVEL_1;DI;6;3
EMERGENCY_ISON_1;DI;6;4

FILLERS_M_1;AI;7;1
CEMENT_M_1;AI;7;2
WATER_M_1;AI;7;3
MIXER_I_1;AI;7;4
